Teams,Seed
North Carolina,1
Charleston Southern,
Old Dominion,
South Carolina,
Georgia Tech,
UCF,
North Florida,
Florida,16
Pepperdine,9
Grand Canyon,
UNLV,
USC,
California,
San Diego,
A&M Corpus-Christi,
Texas,8
Michigan,5
Youngstown State,
Ball State,
Notre Dame,
Princeton,
Fordham,
Long Island,
Virginia,12
Oklahoma,13
Hawaii,
Arkansas,
Washington,
Florida State,
Illinois,
Florida A&M,
Georgia,4
NC State,3
SC State,
Charlotte,
Kansas,
Auburn,
Florida International,
Boston University,
Miami (FL),14
Iowa State,11
Drake,
LSU,
Wisconsin,
UCLA,
Texas Tech,
William & Mary,
Duke,6
Stanford,7
Weber State,
Denver,
Oklahoma State,
Vanderbilt,
East Tennessee State,
Xavier,
Ohio State,10
Tennessee,15
SE Missouri State,
Wake Forest,
Arizona State,
SMU,
Baylor,
Quinnipiac,
Texas A&M,2